"",PriorOccupation_A,PriorOccupation_B2,PriorOccupation_B1,Education_Group1,Education_Group2,Education_Group3,JoinDate
JudgeH,1,1,0,1,0,0,2015-10-01
JudgeK,0,0,1,0,1,0,2016-11-01
JudgeN,0,0,1,0,0,1,2015-10-01
JudgeE,1,1,0,0,1,0,2011-10-01
JudgeD,1,0,0,0,1,0,2011-10-01
JudgeO,0,0,1,0,0,1,2015-10-01
JudgeA,0,1,1,0,1,0,2016-11-01
JudgeF,1,0,0,1,0,0,2016-11-01
JudgeC,0,0,1,0,0,1,2016-11-01
JudgeG,0,0,1,0,0,1,2016-11-01
JudgeI,1,1,0,1,0,0,2011-10-01
JudgeB,0,0,1,0,0,1,2016-11-01
JudgeM,0,0,1,0,0,1,2016-11-01
JudgeJ,1,0,0,1,0,0,2011-10-01
JudgeL,1,0,0,0,1,0,2015-10-01
